Sender Name;Recipient Name;Amount
Ruth Pacheco;William Rowell;2000.84
Jake Mccarthy;Esmeralda Whitaker;20001.75
Matthew Bracken;Linda Richards;401324.79
Christy Oliver;Robert Hawkins;5964.97
Suzanne Ennis;Bob Marquez;52410.11
Nancy Gray;Dora Brooks;2494.68
Bethany Gamino;Marian Watford;99838.65
Iesha Hargis;Paul Charleston;890.4
Randy Bouchard;Tammy Merritt;1154.86
Jon Brigance;Rosario Chavez;61448.59
Wanda Wright;Carrol Moody;1513.85
Helen Bush;Christine Hill;1800.2
Grace Phelps;Anna Cutshall;2107.93
Linda Scheller;Christopher Snyder;123.8
Jack Edwards;Nelson Wilson;1952.87
Thomas Elam;Marilyn Kelley;11815.65
Jonathan Thiel;Danita Stephens;37367.18
Cathryn Wright;Gerald Toler;30586.32
Matthew Chavez;Ruth Donnelly;7974.18
Judith Green;Vicki Hannah;73368.53
Toni Franco;Ida Thompson;963.86
Linda Smith;Ronald Bell;206.96
Kristi Maloney;Miguel Wells;58171.49
Daniel Marks;Kenneth William;5340.22
Julie Fletcher;Martha Dixon;22824.88
Leona Harris;Pearl Knighton;623.82
Leroy Mckenney;Karen Gaston;20955.66
Theodore Mingo;Gregory Cooney;57.21
Derek Valentine;David Lutz;49.47
Roger Sherrard;John Lira;43802.14
Brent Sandoval;Dawn Vosburg;23343.93
William Graham;Pamela Loman;32899.8
Herman Jackson;Gayla Shinn;3110.07
William Springer;Paul Dowe;1912.11
Irene Regalado;Dorothy Gray;694.08
Evelyn Gonzalez;Elizabeth Parsons;31935.8
Rickey Winter;Kristi Maloney;374917.37
George Medlin;Mary Guillen;30061.95
Sue Laumbach;Kirk Schuyler;3626.85
Eric Encino;Kenneth Broker;219.13
Calvin Mosby;William Wilson;150.78
Denise Bertran;Alicia Mansfield;183.69
Perry Stevens;Richard Cline;2608.87
Joseph Mueller;Verna Barton;8771.45
Judy Cardwell;William Doyle;4374.44
Desiree Folden;Kenneth Hodge;1.87
Robert Tracey;Lela Salinas;956537.87
Randy Elsea;Phyllis Reeder;5524.9
Donna Baker;George Watkins;5052.22
Barbara Vassar;John Quincy;4251.44
Shizue Lowry;Eddie Brock;22990.29
Penelope Barton;Jennifer Perry;5464.55
Kevin Tucker;Sandra Cardenas;2257.93
Richard Lee;Patricia Johnson;2175.25
Kelly Miller;Enrique Brown;2457.5
Randell Fortune;Dewey Jackson;4100.4
Abel Frey;Daniel Sias;4364.82
Drew Anderson;Jimmy Torres;2866.1
Susan Pushard;Veronica Peck;1162.75
James Fennel;Nellie Carrere;12787.24
George Page;John Vaughn;2186.38
John Vaughn;Inez Tilley;2904.22
George Medlin;Stephen Butcher;4083.99
Micheal Elick;Louis Spataro;4259.3
Jo Hopkins;Angela Smith;13095.56
Judith Rosenberg;Pauline Knoblock;44467.0
Boyd Quick;Jocelyn Neal;25241.57
Kelly Miller;Barbara Shaver;10613.65
Michael Kelley;Arlene Klein;3792.57
Ronald Lynch;John Arthur;41836.88
David Ezell;Laura Hawley;772.34
Heidi Goguen;Eugene Christensen;1026002.16
William Springer;John Tatum;418.8
Janice Smith;Matthew Bracken;20518.62
Teresa Poling;David Bailey;4189.5
Barbara Dixon;Marilyn Oetzel;5770.34
Emily Bailey;Pamela Loman;8511.43
Cathryn Wright;Eugene Gardner;44195.29
Wanda Wright;Felicia Curran;31960.49
Todd Thoren;Gerald Skeels;190.73
William Carter;Elton Knight;1016.25
Raul Thompson;Joe Garza;38.92
John Lopez;Charles Johnson;7114.21
Juanita Walker;Anna Cutshall;823.54
Robert Nelson;Rebecca Stiger;6640.98
Harold Tallent;Thomas Griswold;87224.46
Camille Ferguson;Eva Carroll;212.48
Brian Marrero;Samantha Hemp;7525.63
Jenny Walker;James Losey;1435689.43
Alfonso Mckinney;Jacki Crosby;25243.0
Peter Lunsford;Mildred Gilchrist;40145.13
Donna Crosten;Lucinda Allen;1393.42
Dewayne Lopez;Thelma Harvey;26734.94
Vivian Backey;Robin Ledbetter;7706.46
Wesley Garcia;Adrian Tanner;50496.44
Ruth Allen;Denise Bertran;3206.87
Danita Stephens;Gordon Selby;3888.35
Eddie Brock;Todd Jolley;64295.82
Robert Parihar;Robert Mercer;786.97
Jesse Payne;Stephen Butcher;4345.42
Herman Lozano;James Losey;913.61
Marian Watford;Harold Alfonso;580.71
Daniel Bud;Billy Ruffo;5371.27
Mabel Gordon;Mary Hardison;635.58
Steve Burrington;Donald Wells;4685.64
Michael Constantino;Bennie Danielson;0.0
Gene Peel;Al Townsend;5548.8
Sophia Cook;David Williams;1049.02
Fred May;Dewey Jackson;2740.54
Thomas Allison;Eugene Gardner;20556.91
Shirley Foster;Martin Hermosillo;3305.36
Michael Jimenez;Sharon Bartlett;16.85
Lynn Lopez;Nathan Freeman;11362.15
Keith Brightwell;Peter Lunsford;13641.93
Ira Gillis;Rodrigo Potts;20165.51
Angela Stevenson;Charles Smith;56.9
James Kurtz;Lona Poland;16718.17
James Carmack;James Thao;68306.5
Dorthy Currie;Alfred Henry;0.0
Helen Harrison;Cassandra Matthews;14971.95
Crystal Saddler;June Doss;4771.22
Bonnie Hauser;Vernon Scofield;8075.75
Donald Petersik;William Greco;5640.68
Edward White;William Simar;790.0
Virginia Nikas;Edith Randall;2949.48
Felicia Curran;Robin Peter;0.0
Nancy Bodkin;Chase Tarnowski;2372.88
Noreen Bolden;Henry Martinez;7082.31
Pearl Knighton;Edward Padilla;4470.98
Sarah Frederick;Hector Berwick;2078.33
Helen Clark;Rose Martinez;663.13
Enrique Brown;Herman Jackson;2415.14
Ronald Bell;Steve Poch;2097.04
Debbi Pezzuti;Hilda Corey;1640.81
Eula Toelke;Terry Ditman;172.07
Jennifer Woolery;David Valentine;21283.68
Regina Poston;Jeremy Morse;781.6
Thomas Lewis;Cameron Gleason;1565.71
Annette Graham;Charles Hayes;124626.45
Patricia Stallworth;Ruth Moody;9438.64
William Doyle;Lucille Jenkins;86732.37
Shane Ybarra;Jeffery Chavez;25904.96
Edward Soto;Danny Bowser;13606.57
Carrol Moody;Frank Hicks;2958.01
Joe Garza;Robert Mercer;15619.51
Louis Turner;Roger Sherrard;526.51
Clayton Daley;Bruce Schmidt;4500.8
Cassi Charlton;Scott Nickel;5314.14
Ruby Bias;Tonya Engen;25905.38
Odessa Rodriquez;Wanda Sewell;521.98
Katheryn Kirkland;Digna Dearing;46419.62
Loren Ennis;Jennifer Woodard;3239.31
Terry Ditman;Elizabeth Franks;10345.56
Andrea Raef;Perry Jones;9189.11
James Martin;Desmond Hahn;104760.67
Robert Self;Hilda Busk;2171.9
David Polowy;Selma Gustafson;1738.67
Mark Wealer;Cheryl Miller;2148.45
Amber Gibson;Arlene Putzier;231.77
Gilbert Riggins;Richard Vaughn;64190.71
Brianne Villalobos;Lisa Dean;58756.79
William Cummings;Lela Salinas;4738.61
Joseph Eason;Katherine Gin;1145.36
Kristi Maloney;Manuel Fisher;5242.92
Robert Estes;Helen Coombs;154034.84
Neil Kamai;William Graham;8024.49
Betty Edmond;Ralph Erickson;538.18
Michael Mccusker;Charles Caldwell;111985.63
Phyllis Battle;Rose Jones;12.27
Quintin Caccavale;Louise Wood;4523.79
Gilbert Riggins;Ashley Hart;885.66
Lily Francis;Frances Walling;95844.87
Robert Schrader;Nora Boyd;71355.83
Johnny Terrell;Hilda Busk;6528.1
Lisa Slemmons;Cindy Dempsey;27754.85
Michael Ogrady;Elizabeth Hoover;1193.96
Jack Sheetz;Cynthia Hatch;2167.09
Ronald Strobeck;Judi Diaz;22433.22
Patricia Tinker;Randell Fortune;551.14
Ashley Garcia;Robert Bach;3929.5
Doris Arrington;David Transue;325.64
Gustavo Ramos;Pearl Flaming;15206.03
John Cunningham;Greg George;422244.63
Robert Poyner;Christopher Miller;65705.08
John Gunn;Eva Roundtree;10101.67
Marian Scarbrough;Randal Farr;29.2
Roberto Sherwood;Henry Stoker;175.87
Michael Williams;Brandon Kaufman;1689.24
Marilyn Kelley;Kelly Lewis;2687.78
Justin Gill;Herman Lozano;5486.49
Sean Roger;Tommie Card;61.56
Tim Broadnax;Todd Thoren;10497.78
Richard Vaughn;Rebecca Hogg;10955.86
Benny Scruggs;John Cephas;2204.46
Kenneth Rodriguez;Jocelyn Neal;2029.66
Francis Crocker;Cassandra Matthews;40648.41
Geneva Robinson;Susan Guerrero;80401.92
David Leonard;Richard Brunton;19176.44
Billy Carney;Kathy Blankenship;108.48
Kenneth William;Gordon Selby;27.31
Lourdes Gregory;Jewell Heath;545.96
Ginger Rashid;Clay Nesbit;2681.44
Gabriela Johnson;Rose Clark;2.67
Jo Stanley;Margaret Stringham;1968.23
Arthur Maasch;Stephen Tucker;57874.27
James Halfmann;Mary Hardison;6756.7
Walter Grace;Angelia Pendergrass;1721.58
Martha Dixon;Ronald Karge;216956.31
Carrol Moody;Marie Waugh;8643.32
Ralph Dietlin;Josh Mendez;3677.68
Laura Simmons;Ronna Wiley;35057.59
William Simar;Jamie Rayford;2988.55
Susan Osborne;Melvin Hubbard;201.39
Lori Anderson;James Dodd;291.48
Tesha Mcintyre;Jeremy Morse;12964.48
Joe Delacruz;Julie Thompson;730.36
Inez Tilley;Carrol Moody;13599.15
Adam James;Josh Mendez;5121.88
Chad Johns;Brent Sandoval;5695.12
William Sheets;Eric Yontz;16715.9
Martin Holsomback;John Estrada;18825.02
Gerald Toler;Linda Richards;262.68
Desmond Hahn;Kristy Johnson;8796.28
Martin Hermosillo;Ramon Turner;1740.97
Nancy Manrique;Marcia Kail;768.61
Timothy Lout;Dorothy Duvall;2362.08
Afton Yoshina;Eduardo Green;1110.18
Matthew Mccurley;Raymond Mullins;14310.39
Judy Harris;Karen Fennern;44.7
Eric Jones;Jenny Walker;11843.73
Edith Randall;Alice Lankford;40614.78
Heidi Levins;Delmer Jones;5865.33
James Shick;John Quincy;877.73
Linda Davis;Patricia Davis;21790.42
Richard Broglio;Manuel Wilson;84678.79
Deborah Lyons;Peter Yi;180.23
Flora Morin;Peter Friesenhahn;2914.2
Dennise Francis;Enrique Brown;57.48
Leslie Sheth;Delores Kerstetter;335.67
Wallace Ploof;Mary Freeman;617.95
Lisa Johnson;Christopher Snyder;21447.63
Linda Richards;Marjorie Cruz;437.27
Bonnie Hauser;Benny Scruggs;2210.57
James Shick;Edward Soto;5024.01
Anthony Popp;Ruth Caceres;15208.68
Janice Swims;Michael Jones;195018.18
Nicole Henrich;Janet Mcminn;466.27
Mark Williams;Dawn Holley;124894.86
Alice Kamp;Derrick Messing;7428.19
Donnie Brace;Kelly Lewis;40.47
Heather Lawrence;Melissa Mansi;1174.83
Judith Rosenberg;Roger Diaz;19915.43
Kelly Miller;Nan Toole;11.79
Logan Tillman;Roger Jefferson;6042.4
Veronica Peck;Marion Greenlee;19329.75
Timothy Lout;Milton Hatch;68.0
Carly Thompson;Frances Roeber;1425.47
Marilyn Branton;Joe Daily;359.64
Mary Williams;Lela Kibler;9601.47
Jodi Hite;Logan Tillman;71.89
Richard Smith;Bryon Eastman;17510.01
Buford Weaver;Michael Scott;593.71
Jean Hopkins;Dee Spear;5694.38
Tony Thompson;Vincent Hall;20013.8
Dale Shaffer;Deborah Cassano;4751.34
Fred May;Louis Hogue;804.0
Todd Sale;Thomas Snow;4703.33
Lori Kurland;Desmond Hahn;5664.97
Nora Boyd;Nelson Wilson;2175.62
Patricia Figueroa;Teresa Poling;4614.53
Shelia Sagers;Allan Briggs;7756.8
Helen Bush;Roger Diaz;18284.89
Justin Gill;Edward Soto;63260.79
Toni Franco;Judy Harris;2.66
Zachary Barrera;Teri Nance;8281.14
Thomas Day;Kayla Sanchez;3634.18
Michael Williams;Catherine Johnston;446.85
Ronald Strobeck;Dean Eddins;1260.29
Gene Peel;Carolyn Davis;182.25
Jeffrey Derrick;Carlos Stephenson;5628.66
Richard Goodwin;James Rempel;105.15
Matthew Boyles;Minh Williams;14225.03
Jimmie Roberson;Timothy Renfro;44160.18
Sarah Ling;Aurelia Russell;397.83
James Wilson;Angie Toliver;317.54
Brent Sandoval;Louis Turner;3638.85
Daniel Ferenz;Ruth Bush;10245.33
Marc Curtis;Sheri Rupe;4152.83
Brianne Villalobos;Donna Gosa;1143.27
Donna Osmun;Angie Prater;960.42
Maria Hennessy;Chase Tarnowski;820.64
Kenny Flood;William Causey;1043.37
Paula Turner;Stacy Enloe;10307.86
Marilyn Mulzer;Dora Gray;766.6
James Maldonado;Lucinda Allen;152.22
Robert Mercer;Margaret Stringham;13279.53
Carmelo Middleton;Ted Metzger;1252.73
Deborah Geigel;James Carmack;98.68
Rebecca Eaton;Horace Anderson;6488.93
Justin Gill;John Kilbane;1000.63
Dianne Alsina;Richard Davila;24.57
Tesha Mcintyre;Gary Collins;808.95
James Rempel;Bryon Eastman;5098.28
Dawn Holley;Wanita Holliday;2387.67
David Stephens;Tina Timothy;37144.75
Gregory Lee;Sergio Knisely;1792.97
Jennifer Perry;Travis Canales;3342.33
Robert Cadet;William Cramer;27934.93
Gwendolyn Hurtado;John Gunderson;6188.9
Steve Poch;Peter Scott;1270.85
Mary Ortiz;Lona Poland;21641.67
Georgia Willis;Thomas Lewis;1296.78
Ronald Bell;Dawn Estes;2778.42
Gary Graham;Otis Davis;1955.97
Greg George;Nelson Wilson;93759.13
Eric Porter;Angela Goldbach;5456.67
James Rempel;Wanda Pennick;13762.58
Bertha Orourke;Anna Varnell;1642.07
Iva Edwards;Donna Osmun;60.57
Mary Hardison;Kenneth Broker;8862.97
John Gunderson;Susan Williams;9982.57
Patricia Figueroa;Denise Bertran;26468.22
April Lewis;Ronald Bell;1298.8
Margaret Hilton;Ronald Lynch;204.22
Fred Green;Noble Lopez;920.4
Virginia Miller;Alan Serrano;13928.62
Mabel Gordon;Charlie Miron;1900.8
Tom Darragh;Ralph Susko;5275.65
Scott Olson;John Kridel;31.45
Richard Colson;Melissa Rodriguez;3257.48
Franklin Krieger;Wm Washington;57223.22
Rigoberto Cupp;Jessie Lopez;29797.77
Julie Lopez;Mary Henderson;26799.21
Rona Honkanen;Brent Lopez;1059.45
Roger Jefferson;Louise Gorden;197.85
Christina Gore;Diane Payton;61098.12
Brianne Villalobos;Marie Dorman;6993.81
Rodney Dunlap;Thomas Elam;498.17
Shantay Finnegan;Gregory Cooney;7169.94
Helen Clark;Joshua Pitts;705.96
Michael Munro;Julia Wilkinson;1245.04
Loretta Butler;Rebecca Stiger;959.72
Diana Beaty;Bernard Bradley;432.18
Lois Jernejcic;Terri Girton;1350.65
Larry Cortez;Vincent Jackson;2150.38
Franklin Krieger;Jamie Rayford;2218.93
Kenneth Rodriguez;William Morabito;4317.74
Susann Petzold;Tammy Merritt;104921.21
Walter Grace;Alma Walker;143992.7
Russ Brewton;Stanley Roby;4442.59
Buford Weaver;Cassandra Matthews;498.02
Dianne Riley;Susan Philbert;1500.11
Amber Walker;Helen Coombs;12513.84
Mary Rivera;Jason Walker;53350.56
Melissa Reese;Dawn Holley;12671.36
Maryann Green;Franklin Krieger;846.67
Anna Varnell;Thomas Williams;204.85
Marion Gary;Sophia Cook;4062.99
Luke Swanson;Jacqueline Shockley;29378.34
Alma Walker;Carmen Springer;71.76
Sherry Fox;Peggy Leatherman;902.54
Patricia Figueroa;Lucille Fuller;7017.48
Dorothy Watkins;Brian Marrero;8768.97
Anthony Guzman;Katheryn Kirkland;8817.78
Mary Hendry;Shirley Whitesides;6148.53
Thomas Lewis;Daniel Ferenz;35951.0
Keith Miller;Pamela Loman;1601.0
Thomas Byrge;Robert Fontenot;14217.94
Lamar Brown;Laurie Cates;3786.51
Bessie Velez;Douglas Knapp;270.44
Kelly Murray;Rachel Ballew;9122.45
Matthew Boyles;Scott Williams;13849.01
Derrick Messing;Margaret Estes;23425.24
Jamie Crespo;Luis Williams;249.91
Sharon Sprague;Matthew Bailey;3029.45
Adrian Tanner;Dorothy Duffy;3479.3
Aurelia Russell;Michael Williams;20820.6
Jon Brigance;Sheri Rupe;3535.55
Lucille Jenkins;Norman Houck;790.35
Dorothy Norman;Norman Houck;5080.09
Cassandra Matthews;Diane Mcclellan;7514.02
Crystal Graves;Ivy Lowenstein;3426.13
Angie Toliver;Mark Shaefer;4056.96
Anthony Musgrave;Paul Graves;1569.72
Keith Rollins;Raymond Gomez;76482.02
Paul Berry;Cora Johnson;23378.77
Michael Mccusker;Laurie Randall;13.34
Rose Clark;Sue Dearborn;1014.93
Louis Hogue;Peter Yi;5092.04
Rosario Lumpkin;Jennifer Mcreynolds;1263.82
William Johnson;Michael Freeman;1138.01
Frederick Tucker;Alison Ray;1614.31
Carol Snyder;Bryan Loeffler;74566.67
Irene Regalado;Dennis Williams;3421.41
Brandon Kaufman;Felicia Chadwick;746.98
Ana Schwenck;William Greco;615.9
Chase Tarnowski;Thomas Atkins;1128.83
Michael Scott;Jason Membreno;9565.16
Richard Haith;Bette Rubio;699.71
Helen Bush;Dana Sanchez;64934.57
Richard Hanson;Linda Scheller;43492.32
Eric Yontz;Esther Siemens;335.93
James Kurtz;Iesha Hargis;1742.42
Richard Debose;James Orourke;10737.59
Isobel Duncan;Grace Phelps;770.67
Maria Larmon;Robert Day;517.52
Susan Brown;Timothy Lout;2577.5
Benjamin Webley;Jeremiah Swenson;5441.18
Wanda Pennick;Gene Peel;37535.65
Matthew Malone;Deborah Young;223.07
Maude Boyd;Sue Laumbach;33015.23
Rose Jones;John Delo;5678.27
Charles Carrel;Mary Liefer;6602.82
Steven Ingram;Louis Godeaux;131944.94
Scott Friou;David Valentine;1527.68
Sharon Bradford;Louise Wood;2660.92
Eunice Bublitz;Laura Hawley;990.01
Kelly Lewis;Mary Garcia;72.18
Lula Allen;Charles Davis;17008.38
Scott French;Henry Stoker;17749.92
Julie Lopez;Daniel Mccall;258.07
Calvin Lucas;James Scott;12408.72
Gregory Lee;Jan Moons;854.48
Patricia Mathey;Sandra Werner;19375.59
Mable Ford;Billie Aldridge;45.01
Stephen Tucker;Joan Navarro;4690.35
Joshua Brahm;Lisa Pratt;2798.04
Mark Shaefer;Eileen Thompson;141809.53
Frances Walling;Mary Layden;2126.9
Howard Fultz;Lisa Manns;787.48
Terrance Gildea;Lauren Radin;8207.89
Stanley Roby;Robert Trager;2882.22
Luke Swanson;Lawrence Devane;2104.12
Ethel Hughes;John Stephen;5181.36
Theodore Mingo;William Simar;1297.97
Brandon Kaufman;Dennis Schilk;2386.45
Dona Hall;Gwen Kissane;279.81
Hector Taunton;Clyde Streeter;6419.51
James Mcdonald;William Springer;193.23
Debra Geary;Monica Willadsen;621.44
Steven Head;Mindi Neira;1945.91
Michael Su;Mary Woods;729.21
Lorean Whaley;Ronna Wiley;1895.1
Dona Hall;Heather Rucker;5399.22
Randy Pitchford;Dana Sanchez;6448.94
David Hughes;Ruth Bush;7900.92
Linda Gentry;John Kridel;18503.13
Teri Nance;Travis Kannel;1917.11
Amber Gibson;Sarah Frederick;25362.04
Lula Allen;Bill Tunnell;9628.55
Iva Edwards;Virgil Williams;2417.92
Nicolasa George;Cynthia Shafer;62.05
Carol Barrocas;Russel Tran;240.47
Elton Knight;Rosemary Richardson;447395.36
Hortencia Flowers;Vivian Backey;3595.11
Eric Porter;Yvonne Thompson;7296.82
Roger Diaz;Daniel Owen;0.0
